iso,country,subject,value
NLD,Netherlands,em-a,174025
NLD,Netherlands,em-f,3776375
NLD,Netherlands,em-i,1232025
NLD,Netherlands,em-m,4459675
NLD,Netherlands,em-s,6830025
NLD,Netherlands,lf-f,4093450
NLD,Netherlands,lf-m,4802325
NLD,Netherlands,s-em,1368450
NLD,Netherlands,unem,659700
NOR,Norway,em,2626600
NOR,Norway,em-a,58925
NOR,Norway,em-f,1242950
NOR,Norway,em-i,535225
NOR,Norway,em-m,1383650
NOR,Norway,em-s,2032450
NOR,Norway,lf-f,1284525
NOR,Norway,lf-m,1436900
NOR,Norway,s-em,189375
NOR,Norway,unem,94825
POL,Poland,em,15861530
POL,Poland,em-a,1819450
POL,Poland,em-f,7083775
POL,Poland,em-i,4836125
POL,Poland,em-m,8777725
POL,Poland,em-s,9205950
POL,Poland,lf-f,7835350
POL,Poland,lf-m,9592900
POL,Poland,s-em,3386925
POL,Poland,unem,1566775
PRT,Portugal,em,4499550
PRT,Portugal,em-a,389125
PRT,Portugal,em-f,2180025
PRT,Portugal,em-i,1073550
PRT,Portugal,em-m,2319475
PRT,Portugal,em-s,3036875
PRT,Portugal,lf-f,2544550
PRT,Portugal,lf-m,2681025
PRT,Portugal,s-em,888475
PRT,Portugal,unem,726050
SVK,Slovak Republic,em,2363025
SVK,Slovak Republic,em-a,82650
SVK,Slovak Republic,em-f,1046700
SVK,Slovak Republic,em-i,837425
SVK,Slovak Republic,em-m,1316375
SVK,Slovak Republic,em-s,1442950
SVK,Slovak Republic,lf-f,1211900
SVK,Slovak Republic,lf-m,1510000
SVK,Slovak Republic,s-em,0
SVK,Slovak Republic,unem,358825
SVN,Slovenia,em,916700
SVN,Slovenia,em-a,87725
SVN,Slovenia,em-f,417475
SVN,Slovenia,em-i,281900
SVN,Slovenia,em-m,499200
SVN,Slovenia,em-s,547075
SVN,Slovenia,lf-f,466700
SVN,Slovenia,lf-m,548125
SVN,Slovenia,s-em,170225
SVN,Slovenia,unem,98125
SWE,Sweden,em,4772125
SWE,Sweden,em-a,93700
SWE,Sweden,em-f,2269725
SWE,Sweden,em-i,882850
SWE,Sweden,em-m,2502400
SWE,Sweden,em-s,3795575
SWE,Sweden,lf-f,2458900
SWE,Sweden,lf-m,2725550
SWE,Sweden,s-em,493075
SWE,Sweden,unem,412350
TUR,Turkey,em,25930720
TUR,Turkey,em-a,5467525
TUR,Turkey,em-f,7689700
TUR,Turkey,em-i,7223625
TUR,Turkey,em-m,18241030
TUR,Turkey,em-s,13239580
TUR,Turkey,lf-f,8721900
TUR,Turkey,lf-m,20051600
TUR,Turkey,s-em,8800725
TUR,Turkey,unem,2842750
